authors	url (pdf)	licence	title	keywords
Keegan, Tom; Bond, Sarah	https://dh2017.adho.org/abstracts/622/622.pdf	cc-by	Quotidian Reading: Digitally Mapping Literary and Personal Geographies	pedagogy, mapping, literature
Kemman, Max	https://dh2017.adho.org/abstracts/472/472.pdf	cc-by	Unpacking Collaboration in Digital History Projects	trading zone, digital history, collaboration, incentives, boundary object
Kestemont, Mike; Stronks, Els; de Bruin, Martine; de Winkel, Tim	https://dh2017.adho.org/abstracts/079/079.pdf	cc-by	Did a Poet with Donkey Ears Write the Oldest Anthem in the World? Ideological Implications of the Computational Attribution of the Dutch National Anthem to Petrus Dathenus	Wilhelmus, Anthem, Authorship, Petrus Dathenus, Cultural Ideology
Kestemont, Mike; Stutzmann, Dominique	https://dh2017.adho.org/abstracts/078/078.pdf	cc-by	Script Identification in Medieval Latin Manuscripts Using Convolutional Neural Networks	Machine learning, Computer vision, Digital Paleography, Deep Learning, Manuscript studies
Ketzan, Erik; Schöch, Christof	https://dh2017.adho.org/abstracts/317/317.pdf	cc-by	What Changed When Andy Weir’s The Martian Got Edited?	textual variants, editing, contemporary literature
Kim, Evgeny; Pado, Sebastian; Klinger, Roman	https://dh2017.adho.org/abstracts/203/203.pdf	cc-by	Prototypical Emotion Developments in Adventures, Romances, and Mystery Stories	emotion analysis, literary genres, distant reading
Kim, Minhyoung	https://dh2017.adho.org/abstracts/517/517.pdf	cc-by	The Useful Past and an Access to the Future: Designing a Community-Based Archive of the Korean Diaspora	Korean Diaspora, Community-Based Archive, Collective Identity, Knowledge Mapping, Community-Owned Space
King, Lindsay; Leonard, Peter	https://dh2017.adho.org/abstracts/036/036.pdf	cc-by	Transforming Theater History through Crowdsourced Transcription	crowdsourcing, theater, history, archives, special collections
Király, Péter	https://dh2017.adho.org/abstracts/458/458.pdf	cc-by	Measuring completeness as metadata quality metric in Europeana	Metadata Quality Assessment, Cultural Analytics, Big Data, Data Science
Kitamoto, Asanobu	https://dh2017.adho.org/abstracts/170/170.pdf	cc-by	MemoryGraph: Digital Critique of Old Photographs Using a Mobile App that Enhances the Interpretation of Landscape	memorygraph, digital critique, old photograph, historical studies, mobile app
